URL does not exist
         394396 function calls (376828 primitive calls) in 2.525 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1025    0.002    0.000    0.003    0.000 _parser.py:172(__setitem__)
       11    0.000    0.000    0.003    0.000 inspect.py:3308(signature)
        3    0.000    0.000    0.003    0.001 base_events.py:977(_connect_sock)
       30    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
     3348    0.002    0.000    0.003    0.000 _parser.py:293(tell)
        1    0.000    0.000    0.003    0.003 tasks.py:1(<module>)
       11    0.000    0.000    0.003    0.000 inspect.py:3050(from_callable)
      610    0.001    0.000    0.003    0.000 {method 'extend' of 'list' objects}
    31/11    0.001    0.000    0.003    0.000 inspect.py:2470(_signature_from_callable)
       40    0.003    0.000    0.003    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.003    0.003 string.py:1(<module>)
        1    0.000    0.000    0.003    0.003 constant.py:1(<module>)
        3    0.000    0.000    0.003    0.001 typing.py:2761(_make_nmtuple)
        1    0.000    0.000    0.003    0.003 request.py:339(full_url)
     6060    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.002    0.002 request.py:370(_parse)
      771    0.002    0.000    0.002    0.000 {built-in method fromkeys}
      705    0.001    0.000    0.002    0.000 _compiler.py:398(_simple)
       34    0.001    0.000    0.002    0.000 typing.py:1047(_generic_class_getitem)
       30    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.002    0.002 tls.py:1(<module>)
       77    0.001    0.000    0.002    0.000 typing.py:345(_remove_dups_flatten)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
      761    0.002    0.000    0.002    0.000 _parser.py:372(_escape)
       10    0.000    0.000    0.002    0.000 tls.py:203(receive)
        1    0.000    0.000    0.002    0.002 __init__.py:40(__getattr__)
        1    0.000    0.000    0.002    0.002 sync.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _client.py:340(build_request)
      189    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
     1419    0.001    0.000    0.002    0.000 enum.py:1544(_get_value)
        1    0.000    0.000    0.002    0.002 __init__.py:469(StrFormatStyle)
      290    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:982(find_spec)
        3    0.001    0.000    0.002    0.001 _urls.py:77(__init__)
      523    0.001    0.000    0.002    0.000 enum.py:726(__call__)
        1    0.000    0.000    0.002    0.002 _state.py:1(<module>)
      240    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:375(_freeze_relations)
        1    0.000    0.000    0.002    0.002 locks.py:1(<module>)
    19/13    0.001    0.000    0.002    0.000 {method 'acquire' of '_thread.lock' objects}
     2918    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2812    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
      442    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
       30    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.002    0.002 from_thread.py:1(<module>)
        1    0.000    0.000    0.002    0.002 calendar.py:1(<module>)
     3811    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
        3    0.000    0.000    0.002    0.001 _connection.py:491(send)
      177    0.000    0.000    0.002    0.000 typing.py:1454(<genexpr>)
      122    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
        3    0.000    0.000    0.002    0.001 _connection.py:518(send_with_data_passthrough)
        1    0.000    0.000    0.002    0.002 string.py:69(__init_subclass__)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:997(exec_module)
        2    0.000    0.000    0.002    0.001 _models.py:1065(aclose)
